2021.01.13 16:57:02 INFO  web[][o.s.p.ProcessEntryPoint] Starting web
2021.01.13 16:57:04 INFO  web[][o.a.t.u.n.NioSelectorPool] Using a shared selector for servlet write/read
2021.01.13 16:57:05 INFO  web[][o.e.p.PluginsService] no modules loaded
2021.01.13 16:57:05 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.join.ParentJoinPlugin]
2021.01.13 16:57:05 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.percolator.PercolatorPlugin]
2021.01.13 16:57:05 INFO  web[][o.e.p.PluginsService] loaded plugin [org.elasticsearch.transport.Netty4Plugin]
2021.01.13 16:57:07 INFO  web[][o.s.s.e.EsClientProvider] Connected to local Elasticsearch: [127.0.0.1:9001]
2021.01.13 16:57:07 INFO  web[][o.s.s.p.LogServerVersion] SonarQube Server / 7.9.5.38598 / cc0bd7b4d9e201f8b4939e5b674637feabf75207
2021.01.13 16:57:07 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.01.13 16:57:07 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: /opt/sonarqube/data
2021.01.13 16:57:07 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar
2021.01.13 16:57:07 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2021.01.13 16:57:09 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: /opt/sonarqube
2021.01.13 16:57:09 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2021.01.13 16:57:09 INFO  web[][o.s.s.p.d.m.h.MigrationHistoryTableImpl] Creating table schema_migrations
2021.01.13 16:57:10 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2021.01.13 16:57:11 INFO  web[][o.s.s.p.Platform] Database has been automatically updated
2021.01.13 16:57:11 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@5104c79f [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/properties*, ...]}]
2021.01.13 16:57:11 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2021.01.13 16:57:13 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2021.01.13 16:57:13 INFO  web[][o.s.s.e.IndexCreator] Create index [metadatas]
2021.01.13 16:57:15 INFO  web[][o.s.s.e.IndexCreator] Create type metadatas/metadata
2021.01.13 16:57:15 INFO  web[][o.s.s.e.IndexCreator] Create index [components]
2021.01.13 16:57:17 INFO  web[][o.s.s.e.IndexCreator] Create type components/auth
2021.01.13 16:57:18 INFO  web[][o.s.s.e.IndexCreator] Create index [projectmeasures]
2021.01.13 16:57:19 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/auth
2021.01.13 16:57:20 INFO  web[][o.s.s.e.IndexCreator] Create index [rules]
2021.01.13 16:57:21 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2021.01.13 16:57:21 INFO  web[][o.s.s.e.IndexCreator] Create index [issues]
2021.01.13 16:57:23 INFO  web[][o.s.s.e.IndexCreator] Create type issues/auth
2021.01.13 16:57:23 INFO  web[][o.s.s.e.IndexCreator] Create index [users]
2021.01.13 16:57:25 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2021.01.13 16:57:25 INFO  web[][o.s.s.e.IndexCreator] Create index [views]
2021.01.13 16:57:27 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2021.01.13 16:57:27 INFO  web[][o.s.s.s.LogServerId] Server ID: BF41A1F2-AXb8rgR0wSGSqlsxVFoX
2021.01.13 16:57:27 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2021.01.13 16:57:27 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2021.01.13 16:57:27 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2021.01.13 16:57:28 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2021.01.13 16:57:28 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2021.01.13 16:57:28 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2021.01.13 16:57:28 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2021.01.13 16:57:28 INFO  web[][o.s.s.q.RegisterQualityGates] Built-in quality gate's conditions of [Sonar way] has been updated
2021.01.13 16:57:28 INFO  web[][o.s.s.r.RegisterRules] Register rules
2021.01.13 16:57:28 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2021.01.13 16:57:28 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2021.01.13 16:57:28 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2021.01.13 16:57:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@1c706ee6 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2021.01.13 16:57:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@56515715 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2021.01.13 16:57:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@12a92278 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2021.01.13 16:57:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@4bd50f6a [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2021.01.13 16:57:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@4817765a [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2021.01.13 16:57:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@4dfa646 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2021.01.13 16:57:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@55387e8e [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2021.01.13 16:57:28 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@599786ab [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2021.01.13 16:57:28 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/rule/activeRule] ...
2021.01.13 16:57:29 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [rules/rule/activeRule] done | time=350ms
2021.01.13 16:57:29 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/rule/ruleExtension] ...
2021.01.13 16:57:29 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [rules/rule],[rules/rule/ruleExtension] done | time=610ms
2021.01.13 16:57:29 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] ...
2021.01.13 16:57:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [users/user] done | time=540ms
2021.01.13 16:57:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] ...
2021.01.13 16:57:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [components/auth/component] done | time=293ms
2021.01.13 16:57:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] ...
2021.01.13 16:57:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [views/view] done | time=264ms
2021.01.13 16:57:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/auth/issue] ...
2021.01.13 16:57:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [issues/auth/issue] done | time=198ms
2021.01.13 16:57:30 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] ...
2021.01.13 16:57:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of types [components/auth],[projectmeasures/auth],[issues/auth] done | time=456ms
2021.01.13 16:57:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] ...
2021.01.13 16:57:31 INFO  web[][o.s.s.e.IndexerStartupTask] Indexing of type [projectmeasures/auth/projectmeasure] done | time=255ms
2021.01.13 16:57:31 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is enabled.
2021.01.13 16:57:31 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2021.01.13 16:57:31 INFO  web[][o.s.s.p.Platform] WebServer is operational
2021.01.13 16:57:31 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning will be disabled as there are no more projects in warning.
